method,chip_id,psnr,ssim,sam,ergas,ndvi_delta
bicubic,24,29.790281048991844,0.8907806,1.0618322,3.1817756,0.022455242
lanczos,24,29.379494487526877,0.8802865,1.1459042,3.3337898,0.0247785
esrgan,24,22.584626579694568,0.48989773,2.7151632,7.2270617,0.036929056
bicubic,25,31.970202331538857,0.8927457,0.95029485,3.1986535,0.017090892
lanczos,25,31.5895121938834,0.8831975,1.008754,3.3444192,0.01858666
esrgan,25,24.857792658565067,0.5837577,2.1973631,7.0663185,0.028334338
bicubic,26,34.08168007149836,0.9174558,0.7214708,2.183261,0.012041471
lanczos,26,33.88606891340047,0.91099703,0.7507772,2.2352707,0.012803316
esrgan,26,24.66543010278787,0.5634973,1.9043856,6.2931814,0.020975992
bicubic,27,32.50660362094646,0.9006828,0.96590286,2.6313448,0.019068496
lanczos,27,32.59773504594071,0.90040123,0.9810962,2.6064582,0.019776952
esrgan,27,22.84501076658273,0.50766104,3.2145338,7.9286685,0.033618018
bicubic,28,33.98244597877408,0.91283625,0.7440427,2.169032,0.013614988
lanczos,28,33.91916741993575,0.90903103,0.7689467,2.1883857,0.014261154
esrgan,28,24.892387413210564,0.5520005,2.165162,6.0265846,0.027503774
bicubic,29,32.93764677135753,0.9112972,0.84428114,2.522705,0.014927972
lanczos,29,32.910793772480716,0.91033536,0.86089915,2.5351927,0.01558722
esrgan,29,22.744771150131253,0.49630627,3.1451538,7.9605117,0.0346019
bicubic,30,31.490159012406586,0.89341384,0.8760012,2.6469285,0.017295886
lanczos,30,31.402344593530845,0.88865554,0.9028915,2.6755729,0.01823515
esrgan,30,24.203657533212052,0.5499501,1.9993395,6.051159,0.026869316
bicubic,31,33.62398956891129,0.90659046,0.67501444,2.0051699,0.012536831
lanczos,31,33.35954214414488,0.90115243,0.70590204,2.0676746,0.013321186
esrgan,31,23.37972423045065,0.5149524,1.8984313,6.3539915,0.027041486
bicubic,32,31.246371256125585,0.89469874,0.8314212,2.7956936,0.014967051
lanczos,32,31.251874471429424,0.89221174,0.8484241,2.7980149,0.015633695
esrgan,32,23.326688190509945,0.48198968,2.2935576,6.817358,0.027866337
bicubic,33,35.24405385148959,0.9252426,0.73851436,2.1621828,0.012467278
lanczos,33,35.14177519642657,0.92118615,0.7629147,2.1914341,0.013252987
esrgan,33,25.68778500788254,0.61228,2.2970376,6.3686857,0.025370836
bicubic,34,33.056353097110964,0.91446817,0.76823926,2.2832105,0.014273634
lanczos,34,32.96073366019601,0.91069144,0.7835506,2.3104224,0.014756479
esrgan,34,23.56774626400009,0.54824346,2.4042547,6.6601515,0.027241088
bicubic,35,32.25042380399727,0.89352924,0.7443492,2.2315004,0.012762667
lanczos,35,32.04939328070563,0.88861465,0.77362144,2.285462,0.013592252
esrgan,35,22.797567495426357,0.51507246,2.078905,6.52861,0.026601627
bicubic,36,31.466835489404552,0.87393,0.9600468,2.7453544,0.01808817
lanczos,36,31.32701695395422,0.86955726,0.98649144,2.7910397,0.018851027
esrgan,36,24.295318359737,0.5254921,2.454065,6.1175966,0.032288857
bicubic,37,32.315011128306864,0.8766674,1.020903,3.0796385,0.019330984
lanczos,37,32.25167700744936,0.87147075,1.0541233,3.1064193,0.020276738
esrgan,37,26.657607748541334,0.6147803,2.175017,5.816384,0.032772206
bicubic,38,31.70943821366027,0.8894575,0.7689898,2.2342029,0.014308532
lanczos,38,31.806260060223774,0.8894666,0.77777624,2.2142434,0.014584773
esrgan,38,23.345510738628814,0.48522502,1.7316326,5.717219,0.025054725
bicubic,39,31.753562412396125,0.8767468,0.6220084,1.7911702,0.009610097
lanczos,39,31.58497868191493,0.869174,0.6340169,1.8281218,0.009948265
esrgan,39,21.82992660036316,0.42669278,1.6510917,5.433871,0.016105415
bicubic,40,32.40127717519172,0.88551867,0.7244365,2.2290797,0.011989034
lanczos,40,32.20526682844251,0.87559766,0.74499905,2.281777,0.012579991
esrgan,40,25.06215806377432,0.5408696,1.7157837,5.1344714,0.020393817
bicubic,41,30.998695393014522,0.84425956,1.2538041,3.316193,0.025709078
lanczos,41,30.7489483838391,0.8363859,1.3027141,3.4131322,0.027151
esrgan,41,24.278543216083484,0.51533943,2.765341,7.087497,0.041782044
bicubic,42,32.35486434196426,0.8949512,0.819588,2.399374,0.016098708
lanczos,42,32.22814070436389,0.89113456,0.84879273,2.4356859,0.016855674
esrgan,42,24.10184942448131,0.5113603,2.072143,6.094616,0.029311733
bicubic,43,30.48406902962135,0.85895365,0.7136888,2.1885026,0.012630301
lanczos,43,30.1230729538573,0.8447377,0.74534506,2.2810225,0.013379412
esrgan,43,23.199218360713342,0.46939754,1.5394002,4.967971,0.020262653
bicubic,44,32.83788787909492,0.89268094,0.77848387,2.4650903,0.013911139
lanczos,44,32.67389314390468,0.88751,0.8084175,2.5139983,0.014756655
esrgan,44,23.392103807155618,0.5086,2.6735082,6.9699345,0.023958903
bicubic,45,32.53483225117869,0.89364594,0.7441862,2.1667123,0.013560329
lanczos,45,32.270151081788924,0.8848134,0.77109814,2.2338588,0.014268391
esrgan,45,23.044563532702583,0.5005563,2.1936996,6.24381,0.027538197
bicubic,46,31.174379825467888,0.8882958,1.0101932,3.0855138,0.018634867
lanczos,46,30.968190139398786,0.8811164,1.0452536,3.1622298,0.019707287
esrgan,46,22.533885362411326,0.512247,3.1255722,8.187851,0.03723272
