method,scene,scale,reflectance,spectral,spatial,synthesis,ha_metric,om_metric,im_metric
lanczos,6,2,0.0027991291135549545,0.5877935290336609,0.0,0.012012532912194729,0.23132993280887604,0.08431467413902283,0.6843554377555847
esrgan,6,2,0.015924688428640366,4.889277458190918,0.03999999910593033,0.014688105322420597,0.5729954242706299,0.07473399490118027,0.35227057337760925
sen2sr,6,2,0.00813985150307417,1.373132348060608,0.0,0.011996288783848286,0.23078610002994537,0.11522670090198517,0.6539872884750366
bicubic,7,2,0.00212845322676003,0.48176753520965576,0.0,0.006039134226739407,0.1407296359539032,0.24547654390335083,0.6137938499450684
lanczos,7,2,0.0020015761256217957,0.45510441064834595,0.0,0.006101558450609446,0.13767124712467194,0.24230097234249115,0.6200277805328369
esrgan,7,2,0.019699256867170334,4.569392681121826,0.02828427031636238,0.0203869491815567,0.7597060203552246,0.09195525199174881,0.14833873510360718
sen2sr,7,2,0.004410021938383579,1.080515742301941,0.0,0.008155565708875656,0.24467813968658447,0.1987464278936386,0.5565754175186157
bicubic,8,2,0.0021497411653399467,0.6617477536201477,0.0,0.003840358927845955,0.14217481017112732,0.44635945558547974,0.41146573424339294
lanczos,8,2,0.0020702830515801907,0.6373594403266907,0.0,0.003926718607544899,0.14640188217163086,0.4132702052593231,0.4403279721736908
esrgan,8,2,0.00885077379643917,2.890925884246826,0.04472135752439499,0.008348586969077587,0.7027679085731506,0.12039624899625778,0.17683586478233337
sen2sr,8,2,0.003951355814933777,1.5851223468780518,0.0,0.005327083636075258,0.34344327449798584,0.2871515154838562,0.36940518021583557
bicubic,9,2,0.0028987538535147905,0.5902500748634338,0.0,0.009807947091758251,0.2228011041879654,0.3851745128631592,0.39202436804771423
lanczos,9,2,0.002788003534078598,0.5668725967407227,0.0,0.009822985157370567,0.22173918783664703,0.37740224599838257,0.4008585512638092
esrgan,9,2,0.010744777508080006,2.6956377029418945,0.019999999552965164,0.013072147965431213,0.5564180016517639,0.24724283814430237,0.1963392049074173
sen2sr,9,2,0.0065096174366772175,1.3376764059066772,0.0,0.012001879513263702,0.3248569965362549,0.3241714537143707,0.3509715795516968
bicubic,10,2,0.0021704083774238825,0.5243188738822937,0.0,0.010524729266762733,0.0806739330291748,0.16227702796459198,0.757049024105072
