method,scene,scale,reflectance,spectral,spatial,synthesis,ha_metric,om_metric,im_metric
esrgan,49,2,0.015172393061220646,5.091891288757324,0.02828427031636238,0.016474168747663498,0.4678453207015991,0.21132025122642517,0.3208344280719757
sen2sr,49,2,0.004259014502167702,1.43994140625,0.0,0.014732910320162773,0.0938483327627182,0.09582028537988663,0.8103313446044922
bicubic,50,2,0.0022976247128099203,0.5268678665161133,0.0,0.009102361276745796,0.2079850435256958,0.21437038481235504,0.5776445865631104
lanczos,50,2,0.002236712956801057,0.5126952528953552,0.0,0.009115668013691902,0.2074131816625595,0.2080572247505188,0.5845295786857605
esrgan,50,2,0.00775193003937602,1.928168773651123,0.019999999552965164,0.012072249315679073,0.4770621657371521,0.2742312550544739,0.24870656430721283
sen2sr,50,2,0.005617284681648016,1.2893366813659668,0.0,0.011450879275798798,0.28872954845428467,0.18787404894828796,0.5233964323997498
bicubic,51,2,0.002568807452917099,0.5097966194152832,0.0,0.013284004293382168,0.20574869215488434,0.5012998580932617,0.29295146465301514
lanczos,51,2,0.0025253104977309704,0.49855273962020874,0.0,0.013289650902152061,0.20259839296340942,0.4936620593070984,0.3037395179271698
esrgan,51,2,0.007185942027717829,1.6650679111480713,0.0,0.017283624038100243,0.5905895829200745,0.19536863267421722,0.21404175460338593
sen2sr,51,2,0.0077337417751550674,1.357077717781067,0.0,0.015010368078947067,0.30238908529281616,0.3953778147697449,0.30223309993743896
bicubic,52,2,0.0032701112795621157,0.885686457157135,0.0,0.0074676931835711,0.19322516024112701,0.60561203956604,0.20116272568702698
lanczos,52,2,0.0031371889635920525,0.851182758808136,0.0,0.007558997720479965,0.1957733929157257,0.5812879204750061,0.2229386419057846
esrgan,52,2,0.012354402802884579,3.7649426460266113,0.03999999910593033,0.013450649566948414,0.6410317420959473,0.20502103865146637,0.15394720435142517
sen2sr,52,2,0.006286045536398888,1.6127917766571045,0.0,0.009936746209859848,0.33383071422576904,0.45197513699531555,0.2141941636800766
bicubic,53,2,0.0034523771610111,0.9464243650436401,0.0,0.01418063323944807,0.09408552944660187,0.13806989789009094,0.7678444981575012
lanczos,53,2,0.0032991115003824234,0.9058555960655212,0.0,0.014200214296579361,0.09399546682834625,0.1374339461326599,0.7685706615447998
esrgan,53,2,0.01960948295891285,4.727788925170898,0.03999999910593033,0.019086482003331184,0.45679429173469543,0.2872392535209656,0.2559664249420166
sen2sr,53,2,0.006498055066913366,2.630841016769409,0.0,0.01666906476020813,0.14925357699394226,0.12125951051712036,0.729486882686615
bicubic,54,2,0.0021914534736424685,0.648068904876709,0.0,0.004491815809160471,0.12308365106582642,0.6750466227531433,0.20186972618103027
lanczos,54,2,0.0021092018578201532,0.6234264969825745,0.0,0.004593329969793558,0.13548213243484497,0.6530566811561584,0.21146118640899658
esrgan,54,2,0.009048753418028355,3.468379497528076,0.02828427031636238,0.0098628094419837,0.7313125729560852,0.11955560743808746,0.1491318792104721
sen2sr,54,2,0.004728331230580807,1.5486496686935425,0.0,0.006065473426133394,0.29836583137512207,0.4431547522544861,0.25847941637039185
bicubic,55,2,0.0034923108760267496,0.7127999067306519,0.0,0.009304922074079514,0.1613190621137619,0.465611070394516,0.3730698823928833
lanczos,55,2,0.0033780077937990427,0.6895076036453247,0.0,0.009386234916746616,0.16791287064552307,0.4546101987361908,0.3774769604206085
esrgan,55,2,0.012556803412735462,3.2660419940948486,0.03999999910593033,0.015746761113405228,0.7174310088157654,0.1325494647026062,0.15001946687698364
sen2sr,55,2,0.009323203936219215,1.5426111221313477,0.0,0.012614858336746693,0.35418838262557983,0.32188695669174194,0.3239246904850006
bicubic,56,2,0.0035296601708978415,0.8720042705535889,0.0,0.007754170801490545,0.17234551906585693,0.4588298201560974,0.36882466077804565
lanczos,56,2,0.003441903740167618,0.8616604804992676,0.0,0.007870682515203953,0.1816214919090271,0.43677595257759094,0.38160252571105957
esrgan,56,2,0.015543020330369473,4.4984259605407715,0.03999999910593033,0.016803273931145668,0.787689208984375,0.08320043236017227,0.12911033630371094
sen2sr,56,2,0.010090073570609093,2.473332405090332,0.0,0.012277984991669655,0.4366461932659149,0.25528785586357117,0.3080659508705139
bicubic,57,2,0.0019584607798606157,0.6952409744262695,0.0,0.00767527986317873,0.1171736866235733,0.1616605818271637,0.7211657762527466
lanczos,57,2,0.0018982866313308477,0.6860061883926392,0.0,0.007724136114120483,0.11673775315284729,0.16217383742332458,0.7210884094238281
esrgan,57,2,0.016431519761681557,8.832033157348633,0.04472135752439499,0.010711440816521645,0.374382883310318,0.187126025557518,0.4384911358356476
sen2sr,57,2,0.006933492608368397,3.910856246948242,0.0,0.012014931999146938,0.20128242671489716,0.09523386508226395,0.7034836411476135
bicubic,58,2,0.00253658345900476,0.6336972117424011,0.0,0.008553056046366692,0.2152249962091446,0.35367339849472046,0.43110164999961853
lanczos,58,2,0.002448233775794506,0.6154674291610718,0.0,0.008569231256842613,0.21841642260551453,0.34172454476356506,0.4398590326309204
esrgan,58,2,0.00944424793124199,2.935722589492798,0.04472135752439499,0.011343350633978844,0.6106576919555664,0.18499551713466644,0.20434673130512238
sen2sr,58,2,0.006676079705357552,1.4549672603607178,0.0,0.010622391477227211,0.35563015937805176,0.25514495372772217,0.38922491669654846
