,psnr,psnr,ssim,ssim,sam,sam,ergas,ergas,ndvi_delta,ndvi_delta
,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,
bicubic,31.786690749529377,2.0563549391093368,0.88976675,0.023359014,0.978352,0.25686863,3.0401134,1.6356918,0.01783071,0.004478506
esrgan,23.61017868458659,1.4712570770227764,0.5310133,0.058798697,2.5856252,0.6194095,7.2788315,1.6288537,0.03381942,0.008573539
lanczos,31.642260591248696,2.0432683667359655,0.88497835,0.02434348,1.0061693,0.26006126,3.0895169,1.6352096,0.01875202,0.0046801725
